*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA:
  Mass x 10^22 (g)      = 189818722 +- 8817 Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s    Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu May  5 15:42:42 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 00:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458040.500000000, A.D. 2017-Oct-14 00:00:00.0000,      69.182352, -6.879727380353326E+08, -4.351463458788071E+08,  1.720125933763477E+07,  6.832095621078684E+00, -1.043388111135653E+01, -1.094918511565814E-01,  2.715946611441436E+03,  8.142203104407991E+08, -1.988573456874979E-01,
2458040.541666667, A.D. 2017-Oct-14 01:00:00.0000,      69.182352, -6.879481416327690E+08, -4.351839073424615E+08,  1.720086512919533E+07,  6.832574838996977E+00, -1.043360112945564E+01, -1.095128905640079E-01,  2.715944224301730E+03,  8.142195947943190E+08, -1.987247339422439E-01,
2458040.583333333, A.D. 2017-Oct-14 02:00:00.0000,      69.182353, -6.879235434782671E+08, -4.352214678232197E+08,  1.720047084450153E+07,  6.833069234056990E+00, -1.043333470493010E+01, -1.095341974561270E-01,  2.715941838723705E+03,  8.142188796160191E+08, -1.985976984472231E-01,
2458040.625000000, A.D. 2017-Oct-14 03:00:00.0000,      69.182353, -6.878989435139903E+08, -4.352590273659098E+08,  1.720007648277941E+07,  6.833580528905152E+00, -1.043307958320454E+01, -1.095556660844257E-01,  2.715939454624330E+03,  8.142181648810072E+08, -1.984788933003986E-01,
2458040.666666667, A.D. 2017-Oct-14 04:00:00.0000,      69.182353, -6.878743416765116E+08, -4.352965860067993E+08,  1.719968204364273E+07,  6.834110100537265E+00, -1.043283327268215E+01, -1.095771871626834E-01,  2.715937071889631E+03,  8.142174505551152E+08, -1.983708075078754E-01,
2458040.708333333, A.D. 2017-Oct-14 05:00:00.0000,      69.182353, -6.878497378981202E+08, -4.353341437728468E+08,  1.719928752710131E+07,  6.834658947184638E+00, -1.043259310297738E+01, -1.095986503829640E-01,  2.715934690377037E+03,  8.142167365956010E+08, -1.982757060538443E-01,
2458040.750000000, A.D. 2017-Oct-14 06:00:00.0000,      69.182353, -6.878251321082306E+08, -4.353717006811658E+08,  1.719889293356016E+07,  6.835227664239016E+00, -1.043235628550492E+01, -1.096199469062924E-01,  2.715932309918388E+03,  8.142160229520514E+08, -1.981955773334531E-01,
2458040.791666667, A.D. 2017-Oct-14 07:00:00.0000,      69.182354, -6.878005242348626E+08, -4.354092567387114E+08,  1.719849826380980E+07,  6.835816429709026E+00, -1.043211997571242E+01, -1.096409717932132E-01,  2.715929930323540E+03,  8.142153095674627E+08, -1.981320877420899E-01,
